reportDate,asin,campaignName,adGroupName,total_impressions,total_clicks,total_cost,attributedSales14d
2025-04-01,B0DKYRK7QT,SD/Active Socks/Brand/PT/VCPM/Dec24/1,brand pt,0,0,0,0
2025-04-01,B0DKYRL6YJ,SD/Active Socks/Brand/PT/VCPM/Dec24/1,brand pt,531,0,17.64,0
2025-04-01,B0DKYRL6YJ,SD/Active Socks/CAT/VCPM/Dec24/1,CAT,0,0,0,0
2025-04-01,B0DKYRL6YJ,SD/Active Socks/COMP/PT/VCPM/Dec24/1,COMP/PT,0,0,0,0
2025-04-01,B0DC73962Q,SD/Arch Sport/RCB/CAT/VCPM/Aug23/1,CAT,0,0,0,0
2025-04-01,B0DC73962Q,SD/Arch Sport/RCB/COMP/VCPM/Aug24/1,comp,0,0,0,0
2025-04-01,B0CJ5CWXQ5,SD/Back/Brand/PT/Ultimate Pro/Feb25/1,Brand PT,24,0,0.86,0
2025-04-01,B0CJ5CWXQ5,SD/Back/CAT/Ultimate Pro/Feb25/1,CAT,0,0,0,0
2025-04-01,B0CJ5CWXQ5,SD/Back/COMP/PT/Ultimate Pro/Feb25/1,Comp PT,1,0,0,0
2025-04-01,B0CJ5CWXQ5,SD/Back/Ups/VCPM/Ultimate Pro/Sep23/1,ups,2,0,0,0
2025-04-01,B0DQV7SPVZ,SD/Barefoot/CAT/Feb25/1,CAT,0,0,0,0
2025-04-01,B0DZJ5DKJW,SD/BarefootClassic/RM/AP/March25/1,Views Remarketing,916,0,47.68,0
2025-04-01,B0DZJ41MZ8,SD/BarefootClassic/RM/AP/March25/1,Views Remarketing,592,0,27.94,0
2025-04-01,B0DSLLDPCR,SD/Butterfly Pillow/Brand/PT/VCPM/Jan25/1,Brand - PT,36,0,2.62,0
2025-04-01,B0DSLLGZFZ,SD/Butterfly Pillow/Brand/PT/VCPM/Jan25/1,Brand - PT,0,0,0,0
2025-04-01,B0DSLL5PWQ,SD/Butterfly Pillow/Brand/PT/VCPM/Jan25/1,Brand - PT,0,0,0,0
2025-04-01,B0DSLL5PWQ,SD/Butterfly Pillow/CAT/VCPM/Jan25/1,CAT,0,0,0,0
2025-04-01,B0DSLLGZFZ,SD/Butterfly Pillow/CAT/VCPM/Jan25/1,CAT,0,0,0,0
2025-04-01,B0DSLLDPCR,SD/Butterfly Pillow/COMP/PT/Feb25/1,Comp PT,122,0,9.35,0
2025-04-01,B0DJM9STYQ,SD/Car Combo/CAT/Feb25/1,CAT,0,0,0,0
2025-04-01,B0DJM9STYQ,SD/Car Combo/RM/AP/Feb25/1,Views Remarketing,0,0,0,0
2025-04-01,B0D62KWFPD,SD/Car Neck Pillow/COMP/PT/VCPM/Dec23/1,COMP/PT,0,0,0,0
2025-04-01,B0D62KWFPD,SD/Car Neck Pillow/RM/AP/VCPM/Feb24/1,RM/AP,0,0,0,0
2025-04-01,B0CPYSWJV5,SD/Car Neck Pillow/RM/AP/VCPM/Feb24/1,RM/AP,0,0,0,0
2025-04-01,B0D62KWFPD,SD/Car Neck Pillow/RM/AP/VCPM/Jan24/1,RM/AP,0,0,0,0
2025-04-01,B0CR3HPYD7,SD/Cervical Neck/PT/Grey to Blue/VCPM/Apr24/1,PT,0,0,0,0
2025-04-01,B0CR3PBD24,SD/Cervical Neck/RM/AP/VCPM/Jan24/1,RM/AP,0,0,0,0
2025-04-01,B0CR3HPYD7,SD/Cervical Neck/RM/AP/VCPM/Jan24/1,RM/AP,0,0,0,0
2025-04-01,B0BGH4BDYQ,SD/Coccyx/Brand/PT/VCPM/May23/1,brandxbrand,0,0,0,0
2025-04-01,B0CBKGQB3R,SD/Coccyx/Brand/PT/VCPM/Ultimate Pro/Apr24/1,brand pt,552,0,80.84,0
2025-04-01,B0BGH4BDYQ,SD/Coccyx/CAT/VCPM/Nov22/1,CAT,0,0,0,0
2025-04-01,B0BGH4BDYQ,SD/Coccyx/CAT/VCPM/Nov22/2,CAT/VCPM,0,0,0,0
2025-04-01,B0CBKGQB3R,SD/Coccyx/CAT/VCPM/Ultimate Pro/Jul23/1,CAT,351,0,9.7,0
2025-04-01,B0C58CSWR2,SD/Coccyx/COMP/PT/VCPM/Jan23/1,Ad group - 31/1/2023 16:31:30,0,0,0,0
2025-04-01,B0BGH4BDYQ,SD/Coccyx/COMP/PT/VCPM/Jan23/1,Ad group - 31/1/2023 16:31:30,0,0,0,0
2025-04-01,B0C58CSWR2,SD/Coccyx/Comp/PT/Fovera/CPC/Nov22/1,Fovera,13,0,0,0
2025-04-01,B0BGH4BDYQ,SD/Coccyx/Comp/PT/VCPM/ALLOTHERS/Apr23/1,COMP,0,0,0,0
2025-04-01,B0BGH4BDYQ,SD/Coccyx/RM/AP/VCPM/Sep22/1,RM/AP,0,0,0,0
2025-04-01,B0BGH4BDYQ,SD/Coccyx/RM/CAT/VCPM/Aug23/1,CAT,0,0,0,0
2025-04-01,B0CJ8VYBQP,SD/Combo/Ups/VCPM/Ultimate Pro/Sep23/1,ups,11,0,0.73,0
2025-04-01,B0BM3D1Z8K,SD/Commode Chair/Brand/PT/May23/1,brandxbrand,10,0,0.27,0
2025-04-01,B0CYWKQGJW,SD/Cozy Pillow/CAT/PT/VCPM/Jul24/1,CAT,0,0,0,0
2025-04-01,B0CYV68HV1,SD/Cozy Pillow/CAT/PT/VCPM/Jul24/1,CAT,33,0,0.26,0
