Platform,Target Type,Campaign Name,Total Spend (Rs),Days Active,First Date,Last Date
"Meta","product","ABO__PostureCorrectorPro-VideoAds-Regional__25062026",994412,14,"2026-06-26","2026-07-09"
"Meta","product","ABO__MaternityPillowBundlePlus__VideoAds__25032026",784372,27,"2026-05-30","2026-07-09"
"Meta","product","ASC__FiveToeSocks-VideoAds__20062026",366950,19,"2026-06-21","2026-07-09"
"Meta","product","ABO__DOD-AllProducts-VideoAds__01072026",202762,8,"2026-07-02","2026-07-09"
"Meta","product","ABO__PostureCorrectorPro__StaticAds__17062026",185125,20,"2026-06-20","2026-07-09"
"Meta","product","ABO__CarCombo-VideoAds-Regional__26062026",133246,14,"2026-06-26","2026-07-09"
"Meta","product","ABO__CarNeckPillow-VideoAds-Regional__26062026",95637,14,"2026-06-26","2026-07-09"
"Meta","product","ABO__PuneriArchComfortSandalMens-VideoAds__20062026",85571,19,"2026-06-21","2026-07-09"
"Amazon","product","SB/Heel Protector/CAT/May26/1",68344,15,"2026-06-25","2026-07-09"
"Meta","product","ABO__LanguageTesting-VideoAds__22062026",67705,14,"2026-06-23","2026-07-06"
"Meta","product","ABO__WomensArchSupportWedgeSandalsAdjustableStrap-StaticAds__30062026",65728,8,"2026-07-01","2026-07-08"
"Meta","product","ASC__Test4-Cold&HotTherapyCap-VideoAds__27062026",63549,13,"2026-06-27","2026-07-09"
"Meta","product","ASC__Test1-Cold&HotTherapyCap-VideoAds__27062026",63545,13,"2026-06-27","2026-07-09"
"Meta","product","ASC__Test3-Cold&HotTherapyCap-VideoAds__27062026",63404,13,"2026-06-27","2026-07-09"
"Meta","product","ASC__Test2-Cold&HotTherapyCap-VideoAds__27062026",63000,13,"2026-06-27","2026-07-09"
"Meta","product","CBO__MaternityPillowBundlePlus-VideoAds-Regional__25062026",62165,14,"2026-06-26","2026-07-09"
"Meta","product","ABO__WedgeCarCushion-VideoAds-Regional__25062026",60866,13,"2026-06-27","2026-07-09"
"Meta","product","ASC__Test2-MensComfortDualStrapSandal-VideoAds__29062026",57078,11,"2026-06-29","2026-07-09"
"Amazon","product","SP/LumboSacralBelt/Generic/Phrase/Feb25/1",53394,58,"2025-03-03","2025-05-07"
"Meta","product","ABO__CarBackRest-VideoAds-Regional__26062026",46659,10,"2026-06-27","2026-07-06"
"Meta","product","CBO__Orthotics-KneeSupportWrap-VideoAds-Regional__25062026",38049,13,"2026-06-26","2026-07-08"
"Meta","product","ABO__MaternityPillowBundlePlus-VideoAds-Regional__07072026",33457,2,"2026-07-08","2026-07-09"
"Meta","product","ABO__ComfortFormalShoes-VideoAds-Regional__07072026",32524,3,"2026-07-07","2026-07-09"
"Meta","product","ASC__Test1-MensComfortDualStrapSandal-VideoAds__29062026",31758,11,"2026-06-29","2026-07-09"
"Meta","product","ASC__Test2-UnisexCloudComfortArchSupportSlippers-VideoAds__29062026",31738,11,"2026-06-29","2026-07-09"
"Meta","product","ASC__Test1-UnisexCloudComfortArchSupportSlippers-VideoAds__29062026",31524,11,"2026-06-29","2026-07-09"
"Meta","product","ABO__TravelNeckPillow__StaticAds__17062026",31421,7,"2026-06-26","2026-07-02"
"Amazon","product","SP/ElectricHeatingPad/Generic/Phrase/HS/Jun26/C3",30536,15,"2026-06-18","2026-07-09"
