Particulars (Tally Product Name),Sources
Frido Ultimate Pro Mask,Offline_B2B
Heel Cup (Men) - Frido,"MTGT,Offline_B2B,Stockist"
Arcatron SAC100,"MTGT,Offline_B2B"
"Sleep combo 4"" 4 combo",Stockist
Heel Cup (Women) - Frido,"MTGT,Offline_B2B,Stockist"
Frido Ultimate Mask,Offline_B2B
Ultimate Lumber Cushion-Grey,"MTGT,Offline_B2B,Stockist"
Arcatron 2000 MAC101,"MTGT,Offline_B2B"
Nylon Spadenx Fabric,MTGT
Frido Ultra Junior,Offline_B2B
Car Neck Pillow-Black (Pack of 4),Stockist
Frido Piles Seat Pillow (CP)-Zydus,Offline_B2B
Fabric  (540752),MTGT
Arch Support Insoles -Large,"MTGT,Offline_B2B,Stockist"
Frido AeroMesh Classic- without Headrest- Grey,"Offline_B2B,Stockist"
Fabric,MTGT
Arch Support Insoles - Medium,"MTGT,Offline_B2B,Stockist"
Frido Ultimate Coccyx Seat Cushion - Regular,"MTGT,Offline_B2B,Stockist"
Frido Go AP,"MTGT,Offline_B2B"
car neck pillow fabric,"MTGT,Offline_B2B"
Frido Ultimate Cozy Pillow - Pack of 4,Stockist
Arch Support Insoles - Small,"MTGT,Offline_B2B,Stockist"
Oxygen Concentrator-5 LTR (Yuwell),Offline_B2B
Frido Basic Chair Black,"Offline_B2B,Stockist"
Frido AeroMesh Classic- with Headrest- Grey,"Offline_B2B,Stockist"
Frido Cuddle PIllow - Tutu Pink (Pack of 2),Stockist
Frido Ultimate Wedge Plus Cushion- White Combo 4,Stockist
Fabric Wedge Cushion - 905 - Coffe Brown,MTGT
Frido Ultimate Socket Seat Cushion (Double Hole),"MTGT,Offline_B2B,Stockist"
Freedom 5000 Transit,Offline_B2B
GOLIMESH 60053200,MTGT
Frido Copper Mask,Offline_B2B
Frido Orthotics Bunion Corrector- 2pairs,Stockist
Fabric Wedge Cushion - 904 - Caramel,MTGT
Polyster Knitted Fabrics - Super Soft Wine 60,MTGT
Frido Cuddle Pillow - Yellow (Pack of 2),Stockist
"Polyster Knitted Fabrics - Super Soft Pink 60""",MTGT
"Polyster Knitted Fabrics - Super Soft Black 60""",MTGT
Polyster Knitted Fabrics - Super Soft Sapphire Blue,MTGT
Arcatron Prime SAC101,Offline_B2B
Frido Ultimate Cozy Pillow - Pck of 4,Stockist
Insoles Women - Dual Gel Pack of 4,Stockist
Fabric Cuddle Pillow Pouch - 927- Gray for pouch,MTGT
Frido Women's Arch Comfort Sandals - Dark Silver-6,Stockist
Frido Women's Arch Comfort Sandals - Dark Silver-5,Stockist
"Polyster Knitted Fabrics - Super Soft Grey 60""",MTGT
Combo - Frido Ortho Memory Foam Pillow - Pack of 2,Stockist
Frido Barefoot Sock Shoe Pro Charcoal Grey (Men) - XL,"MTGT,Stockist"
Frido Orthopedic Cervical Pillow - Premium Blue combo 2,Stockist
Frido Barefoot Sock Shoe Pro Charcoal Grey (Women) - XS,Stockist
Mini Car Neck Pillow - Black,"MTGT,Offline_B2B,Stockist"
Frido Orthotics Pro Posture Corrector - XL,Stockist
Frido Cloud Backrest Cushion- Mocha Brown Pack of 2,Stockist
Frido Orthotics Pro Posture Corrector - L,"Offline_B2B,Stockist"
